id,x1,x2,x3,x4,cat1,cat2,cat3,cat4,bin1,bin2,bin3,bin4,bin5,cls1,cls2,cls3,cls4
0,0.28,0.80,0.40,0.63,medium,medium,low,low,false,false,false,false,false,2,1,1,1
1,0.20,0.77,0.53,0.40,high,high,high,low,false,false,false,false,false,2,0,0,1
2,0.31,0.90,0.71,0.41,medium,high,medium,high,false,true,false,false,true,2,0,0,1
3,0.25,0.67,0.50,0.63,medium,low,low,low,false,false,false,false,false,1,1,1,1
4,0.63,0.60,0.59,0.27,low,low,low,low,false,false,true,true,false,0,0,1,1
5,0.29,0.76,0.44,0.56,low,low,low,low,true,false,false,false,false,2,1,1,1
6,0.75,0.55,0.27,0.70,low,high,low,low,true,true,true,true,false,0,1,1,0
7,0.15,0.49,0.53,0.46,low,low,low,low,true,true,true,true,true,1,0,1,0
8,0.27,0.64,0.36,0.70,high,medium,high,high,true,false,false,true,false,2,1,0,1
9,0.32,0.82,0.70,0.34,low,low,low,low,false,false,false,false,false,2,0,1,1
10,0.33,0.39,0.53,0.92,medium,low,high,high,false,false,false,false,false,1,1,0,1
11,0.26,0.51,0.15,0.70,low,medium,low,medium,false,true,true,false,false,1,1,1,1
12,0.65,0.76,0.59,0.49,low,low,low,low,false,false,false,true,false,0,0,1,1
13,0.71,0.69,0.73,0.35,high,high,high,low,true,true,true,true,true,0,0,0,0
14,0.37,0.67,0.38,0.61,low,low,low,low,false,false,false,false,false,2,1,1,1
15,0.25,0.86,0.65,0.48,low,low,low,low,true,true,true,true,true,2,0,1,0
16,0.30,0.91,0.49,0.56,high,low,high,medium,true,false,true,true,true,2,0,0,0
17,0.58,0.71,0.67,0.56,high,high,medium,high,true,true,true,true,false,0,0,0,0
18,0.56,0.84,0.52,0.30,low,high,high,high,false,false,false,false,false,0,0,0,1
19,0.22,0.73,0.35,0.85,low,low,low,low,true,true,false,true,true,2,1,1,0
20,0.31,0.76,0.36,0.82,low,medium,medium,low,true,true,true,true,true,1,1,1,0
21,0.41,0.68,0.71,0.52,low,low,low,low,true,true,true,false,true,0,0,1,1
22,0.27,0.72,0.56,0.41,high,medium,medium,high,true,true,true,true,true,2,0,0,0
23,0.29,0.73,0.46,0.75,high,high,high,high,true,false,false,true,true,2,1,0,0
24,0.25,0.38,0.46,0.73,low,low,low,low,true,true,true,true,true,1,1,1,0
25,0.48,0.59,0.49,0.68,high,high,low,low,false,false,false,true,false,0,1,0,1
26,0.24,0.84,0.60,0.56,high,high,high,medium,true,true,false,true,true,2,0,0,0
27,0.60,0.75,0.55,0.75,low,low,low,medium,true,true,true,false,true,0,1,1,0
28,0.58,0.63,0.81,0.43,high,high,medium,high,true,true,true,false,true,0,0,0,0
29,0.27,0.79,0.54,0.74,high,high,high,medium,true,true,false,true,true,2,1,0,0
30,0.27,0.70,0.44,0.71,low,low,low,low,true,false,false,false,false,2,1,1,1
31,0.21,0.77,0.45,0.65,medium,low,high,medium,true,false,true,true,true,2,1,0,0
32,0.33,0.69,0.44,0.75,high,medium,high,medium,true,true,true,true,true,1,1,0,0
33,0.20,0.52,0.37,0.67,high,medium,high,medium,true,true,true,true,true,1,1,0,0
34,0.22,0.82,0.35,0.82,high,high,medium,low,true,true,true,true,true,2,1,0,0
35,0.22,0.50,0.58,0.11,high,high,medium,medium,false,false,false,false,false,1,0,0,1
36,0.24,0.62,0.44,0.84,low,medium,low,low,true,true,true,true,true,1,1,1,0
37,0.27,0.28,0.54,0.43,low,medium,low,low,true,true,true,true,true,1,0,1,0
